KEY,en,cs,zh_Hant,ru,de,pl,sv,bg,tl,ro,pt,fr,es,es_AR,nb,it,da,es_MX,tr,ja,fi,vi,cmn
Lets you keep your shop decorations on ascension,Lets you keep your shop decorations on ascension,Umožní ponechat vaše dekorace obchodu při povznesení,在「翻新」後保留水族館的裝飾,Позволяет сохранить декорации в помещении при переезде,Lässt dich beim Reset deine Dekoration behalten,Pozwala ci zachować dekoracje sklepu po prestiżu,Låter dig spara din affärs dekorationer efter återfödelse,Позволява ви да запазите декорациите на магазина си при Възнесение,,,Deixa você guardar as decorações da loja na ascensão,Permet de garder les décorations de la boutique lors de l'ascension,,,Lar deg beholde dekorasjonene i butikken etter arv,,Lader dig beholde dine butiksdekorationer ved genfødsel,te deja mantener las decoraciones de tu tienda despues del ascenso,,,Antaa sinun pitää kauppasi koristeet tason nousussa,Giữ lại đồ trang trí cửa hàng khi thăng thiên,
Lets you keep your fish tank decorations on ascension,Lets you keep your fish tank decorations on ascension,Umožní ponechat dekorace vašich akvárií při povznesení ,在「翻新」後保留水槽的裝飾,Позволяет сохранить декорации в аквариумах при переезде,Lässt dich beim Reset deine Becken Dekoration behalten,Pozwala ci zachować dekoracje akwarium po prestiżu,Låter dig spara alla dina akvariedekorationer efter återfödelse,Позволява ви да запазите декорациите на аквариума си при Възнесение,,,Deixa você guardar as decorações do seu aquário na ascensão,Permet de garder les décorations de l'aquarium lors de l'ascension,,,Lar deg beholde dekorasjonene i fisketanken etter arv,,Lader dig beholde dekorationerne i vandbeholderen ved genfødsel,te deja mantener las decoraciones del acuario despues del ascenso,,,Antaa sinun pitää akvaarioiden koristeet tason nousussa,Giữ lại đồ trang trí bể cá khi thăng thiên,
Doubles the power of researchers,Doubles the power of researchers,Zdvojnásobí sílu výzkumníků,研究員效果翻倍,Удваивает эффективность исследователей,Verdoppelt die Forschungsfortschritte,Podwaja moc badaczy,Dubblar effekten hos dina forskare,Удвоява силата на изследователите,,,Duplica o poder dos pesquisadores,Double le pouvoir des chercheurs,,,Dobler kraften til forskerne,,Dobler produktiviteten af forskere,duplica el poder de los investigadores,,,Tuplaa tiedonhakijoiden voiman,Nhân đôi sức mạnh của các nhà nghiên cứu,
Doubles the power of researchers AGAIN!,Doubles the power of researchers AGAIN!,Zdvojnásobí sílu výzkumníků ZNOVU!,研究員效果再次翻倍！,Удваивает эффективность исследователей... СНОВА!,Verdoppelt die Forschungsfortschritte ERNEUT!,"Podwaja moc badaczy, DRUGI RAZ",Dubblar effekten hos dina forskare IGEN!,Удвоява силата на изследователите ОТНОВО!,,,Duplica o poder dos pesquisadores DE NOVO!,Double ENCORE le pouvoir des chercheurs !,,,Dobler kraften til forskerne IGJEN!,,Dobler produktiviteten af forskere IGEN!,duplica el poder de los investigadores OTRA VEZ!,,,Tuplaa tiedonhakijoiden voiman TAAS! ,MỘT LẦN NỮA nhân đôi sức mạnh của các nhà nghiên cứu!,
Increases your offline income limit to {quantity} hours,Doubles your offline income limit to {quantity} hours,Zdvojnásobí váš limit příjmu offline na {quantity} hodin,離線收益時間上限翻倍至  {quantity} 小時,Увеличивает лимит дохода в офлайне до {quantity} часов,Erhöhe dein offline Einkommen maximum zu {quantity} Stunden,Zwiększa limit przychodu offline do {quantity} godzin,Höjer maxantalet du kan tjäna offline till {quantity} timmar ,Увеличава лимита ви за офлайн доход до {quantity} часа,,,Aumenta o limite do teu rendimento offline para {quantity} horas,Double la limite de votre rendement hors-ligne pour {quantity} heures,,,Øker maksantallet du kan tjene mens spillet er avsluttet til {quantity} timer,,,incresa tu limite de ganacias desconectado a {quantity} Horas,,,Tuplaa offline-tilan tulojen rajan {quantity} tuntiin,,
Increases your offline efficiency to {percent},Increases your offline efficiency to {percent},Zvýší vaši offline efektivnost na {percent},離線收益效率提升至 {percent}, Увеличивает вашу оффлайн эффективность до {percent},Erhöht deine offline Effizienz zu {percent},Zwiększa efektywność offline do {percent},Höjer effektiviteten på dina inkomster offline till {percent}  ,Увеличава вашата офлайн ефективност до {percent},,,Dupla a sua eficiência offline para {percent},Double votre efficacité hors-ligne pour {percent},,,Øker effektiviteten mens spillet er avsluttet til {percent},,,incresa tu efficiencia desconectado a {percent},,,Parantaa offline-tilan tehokkuuden {percent} ,,
Drop Pot,Drop Pot,Shodit Past,放下捕撈籠,Кинуть ловушку,Falle platzieren,Opuść pułapkę,Släpp en fälla,Хвърляне на капан,,,Armadilha de largamento,Piège de relâchement ,Trampa de caída,,Slipp potten,,Giv slip på krabbefælde,Soltar olla,,,Tiputa rapumerta,Thả lồng bẫy,
Raise Pot,Raise Pot,Vyzdvihnout Past,拿起捕撈籠,Поднять ловушку,Falle einsammeln,Podnieś pułapkę,Höj fällan,Повишаване на капан,,,Armadilha de criação,Piège d'élèvement,,,Løft potten,,Løft krabbefælde,Levantar olla,,,Nosta rapumerta,Kéo lồng bẫy,
Return,Return,Vrátit Se,返回,Вернуться,Zurückkehren,Wróć,Återvänd,Връщане,,,Devolver,Retour,,,Gå tilbake,,Gå tilbage,volver,,,Palauta,Quay lại,
No fish caught yet!,No fish caught yet!,Zatím žádné ryby nechyceny!,目前沒有捕獲到任何魚！,Пока никто не попался,Noch kein Fische gefangen!,"Żadnych złapanych ryb, jeszcze!",Inga fiskar fångade än!,Все още няма уловена риба!,,,Nenhum peixe apanhado ainda!,Aucun poisson attrapé encore!,,,Ikke fått noen fisk enda!,,Ingen fisk fanget endnu!,Ningun pez atrapado aun!,,,Ei napattuja kaloja vielä! ,Chưa bắt được con cá nào!,
{quantity} creatures caught,{quantity} creatures caught,{quantity} živočichové chyceni,{quantity}已捕獲生物,{quantity} существ поймано,{quantity} Kreaturen gefangen,Złapano {quantity} żyjątek,{quantity} varelser fångade,{quantity} същества са уловени,,,{quantity} criaturas apanhadas,{quantity} créatures attrapées,,,{quantity} dyr fanget,,{quantity} dyr fanget,{quantity} criaturas atrapadas,,,{quantity} olentoa napattu ,,
{cast_key} to cast and reel,{cast_key} to cast and reel,{cast_key} pro nahození a navíjení,按下 {cast_key} 拋竿與收線,"Нажмите {cast_key}, чтобы забросить и подтягивать",{cast_key} zum Auswerfen und Einholen,{cast_key} żeby zarzucić wędkę i kręcić kołowrotkiem ,{cast_key} för att kasta och dra in,{cast_key} за хвърляне и навиване,,,{cast_key} para lançar e recolher,{cast_key} pour lancer et rembobiner,,,{cast_key} for å kaste og dra inn,,,{cast_key} para lanzar y recoger,,,{cast_key} heittää ja kelata,,
Rainy,Rainy,Deštivo,雨天,Дождь,Regen,Deszcz,Regnigt,Дъждовно,,Ploios,Chuvoso,Pluvieux,Lluvioso,Lluvioso,Regnvær,,Regnvejr,lluvioso,,,Sateinen,,
Cloudy,Cloudy,Oblačno,多雲,Облачно,Bewölkt,Pochmurnie,Molnigt,Облачно,,Noros,Nublado,Nuageux,Nublado,Nublado,Overskyet,,Overskyet,Nublado,,,PIlvinen,,
Sunny,Sunny,Slunečno,晴天,Солнечно,Sonnig,Słonecznie,Soligt,Слънчево,,Insorit,Ensolarado,Ensoleillé,Soleado,Soleado,Sol,,Solskin,Soleado,,,Aurinkoinen,,
WARNING,WARNING,VAROVÁNÍ,注意,ПРЕДУПРЕЖДЕНИЕ,WARNUNG,OSTRZEŻENIE,VARNING,ПРЕДУПРЕЖДЕНИЕ,,AVERTISMENT,AVISO,AVERTISSEMENT,PRECAUCIÓN,PELIGRO,ADVARSEL,,ADVARSEL,ADVERTENCIA,,,VAROITUS,CHÚ Ý,
KEY_ASCEND,"Ascending will reset all of your progress, including money, research, upgrades, fish, and more. But you'll get some points to spend on powerful upgrades.

You'll also get a {percent} income bonus per ascension point.

Are you sure you want to continue?","Povznesení resetuje veškerý váš postup, včetně peněz, výzkumu, vylepšení, ryb a dalšího. Získáte však body, které můžete utratit za silná vylepšení.

Získáte také {percent} bonus k příjmu za každý bod povznesení.

Jste si jisti, že chcete pokračovat?","翻新將會重設你的所有進度... 但你將獲得可用於強力升級的點數。



每點「翻新點數」還會為你提供 {percent} 的收益加成。



你確定要繼續嗎？","Восхождение приведет к ОБНУЛЕНИЮ всего вашего ПРОГРЕССА, включая деньги, исследования, улучшения, рыбу и многое другое. Но вы получите некоторое количество очков, которые можно потратить на мощные улучшения. Вы также получите бонус в виде процента дохода за каждое очко восхождения. Вы уверены, что хотите продолжить?","Der Reset setzt deinen gesamten Fortschritt zurück, einschließlich Geld, Forschung, Upgrades, Fische und mehr. Du erhältst jedoch Punkte, die du für mächtige Upgrades ausgeben kannst.

Außerdem erhälst du pro Aufstiegspunkt einen Einkommensbonus von {percent}.

Möchtest du fortfahren?","Prestiż zresetuje wszystko, włącznie z pieniędzmi, badaniami, ulepszeniami, rybami i jeszcze więcej. W zamian otrzymasz punkty do wydania na potężne ulepszenia.     Dostaniesz także dodatkowe {percent} więcej pieniedzy za każdy punkt prestiżu.    Czy jesteś pewien/na, że chcesz kontynuować? ","Återfödelse kommer återställa alla dina framsteg, inkluderande pengar, forskning. uppgraderingar, samt fiskar, och mer. Däremot kommer du få poäng som du kan spendera på kraftfulla uppgraderingar.

Du kommer också att få en inkomstbonus på {percent}, per återfödelsepoäng.

Är du säker på att du vill fortsätta?","„Възнесение ще нулира целия ви напредък, включително пари, изследвания, подобрения, риба и други. Но ще получите точки, които да похарчите за мощни подобрения.

Ще получите и {percent} бонус доход за всяка точка изкачване.

Сигурни ли сте, че искате да продължите?“",,"Daca ascensionezi îți vei reseta tot progresul, inclusiv banii, cercetarea, upgrade-urile, peștii și altele. Dar vei primi câteva puncte pe care le poți cheltui pe îmbunătățiri puternice.

De asemenea, vei primi un bonus de venit de {percent} pentru fiecare punct de ascensiune.

Ești sigur că vrei să continui?","A ascensão vai reinicializar todo seu progresso, incluindo dinheiro, pesquisa, amelhoraçoes, peixes, é mais. Mas vai receber alguns pontos para gastar em amelhoraçoes poderosas.

Também vai receber {percent} de rendimento bónus por ascensão.

Tem certeza de querer continuar?","L'ascension réinitialisera toute votre progression, incluant votre argent, vos recherches, améliorations, poissons, et plus. Mais, vous obtiendrez des points à dépenser sur des améliorations puissantes.

Vous obtiendrez également un {percent} de bonus de revenue par point d'ascension.

Êtes-vous sûr de vouloir continuer?",,,"Arv vil tilbakestille all fremgang, inkludert penger, forskning, oppgraderinger, fisk med mer. Men du kommer til å fp poeng du kan bruke på kraftige oppgraderinger. 

Du kommer også til å få {percent} inntektsbonus per arvpoeng. 

Er du sikker på at du vil fortsette?",,,"Ascender reiniciara todo tu progreso, incluyendo dinero, investigacion, mejoras, peces y mas, pero te daran puntos para gastar en mejoras fuertes 

tambien te daran un bonus de {percent} por cada punto de ascenso

Estas seguro de continuar?",,,"Tason nouseminen tulee nollaamaan kaiken edistymisen, sisältäen rahat, tutkimustiedon, päivitykset, kalat ja niin edelleen. Saat kuitenkin pisteitä, jotka saat käyttää voimakkaisiin päivityksiin.    	                                                                                                                                                                                                                                                                                                           Saat myös {prosentti} lisätulon per tason nousemispiste.                                                                                                                                                            	                                                                                                                                                                                                                                   Haluatko varmasti jatkaa? ",,
Yes,Yes,Ano,是,Да,Ja,Tak,Ja,Да,,Da,Sim,Oui,Sí,Sí,Ja,,Ja,Si,,,Kyllä,,
No,No,Ne,否,Нет,Nein,Nie,Nej,Не,,Nu,Não,Non,No,No,Nei,,Nej,no,,,Ei,,
Now Playing,Now Playing,Nyní Hraje,正在播放,Сейчас играет:,Spielt jetzt,Teraz gra,Spelar nu upp,Сега върви,,"Acum joacă
",A tocar,Entrain de jouer,,Ahora jugando,Spiller nå,,Spiller nu,Ahora jugando,,,Nyt pelaamassa ,,
Reset Data,Reset Data,Resetovat Data,重置資料,Сбросить сохранения,Daten zurücksetzen,Zresetuj dane,Starta om data,Нулиране на данните,,Resetează data,Redefinir dados ,Réinitialiser les données,,Reiniciar datos,Tilbakestill data,,Nulstil data,Reiniciar datos,,,Nollaa tiedot,,
"All data will be reset permanently.

You must restart your game afterwards.

Continue?","All data will be reset permanently.

You must restart your game afterwards.

Continue?","Všechny data budou permanentně resetována.

Budete si muset následně restartovat hru.

Chcete pokračovat?","所有資料將被永久重置。

完成後必須重新啟動遊戲。

是否要繼續?",Все данные будут сброшены безвозвратно. После этого вам необходимо перезапустить игру. Продолжить?,"Alle Daten werden endgültig zurückgesetzt.

Das Spiel MUSS anschließend neugestartet werden.

Möchtest Du Fortfahren?",Wszystkie dane będą trwale usunięte. Po tym nie ma odwrotu i musisz zacząć od początku. Czy chcesz kontynuować?,"All data kommer att återställas permanent.

Du måste starta om ditt spel efteråt.

Vill du fortsätta?","„Всички данни ще бъдат нулирани за постоянно.

Трябва да рестартирате играта си след това.

Да продължим ли?“",,Toate datele vor fi resetate permanent. Trebuie să dai restart la joc după. Continui?,"Todos os dados serão apagados de forma definitiva.

Terás de reiniciar o jogo depois.

Queres continuar?
","toute la 
sauvegarde
va etre supprimer
de façon
permanent

vous devez recommencer
le jeux après




continuez?",,"Todos los datos seran reiniciados permanentemente.

Deberás reiniciar tu juego después

Continuar?","All data vil permanent tilbakestilles.

Du på begynne spillet på nytt etterpå.

Fortsett?",,Alt data nulstilles permanent. Du er nødt til at genstarte spillet efter. Fortsæt?,"todos los datos seran borrados permanentemente

debes reiniciar el juego despues

continuar?",,,Kaikki tieto tulee nollaantumaan ikuisesti.																																											Sinun täytyy uudelleenaloittaa pelisi jälkeenpäin.																																					Jatka? ,"Tất cả dữ liệu sẽ mất vĩnh viễn.

Bạn cần khởi động lại game sau đó.

Tiếp tục?",
Welcome Back!,Welcome Back!,Vítejte Zpátky!,歡迎回來!,С возвращением!,Willkommen zurück!,Witaj z powrotem!,Välkommen tillbaka!,Добре дошли отново!,,Bine te-ai intors!,Bem-vindo de volta,Bon retour!,,¡Bienvenido devuelta!,Velkommen tilbake!,,Velkommen tilbage!,Bienvenido devuelta!,,,Tervetuloa takaisin!,Chào mừng trở lại!,
seconds,seconds,sekund,秒,секунд,Sekunden,sekundy,sekunder,секунди,,secunde,segundos,secondes,segundos,minutos,sekunder,,sekunder,segundos,,,Sekunnit,giây,
minutes,minutes,minut,分鐘,минут,Minuten,minuty,minuter,минути,,minute,minutos,minutes,minutos,minutos,minutter,,minutter,minutos,,,Minuutit,phút,
hours,hours,hodin,小時,часов,Stunden,godziny,timmar,часа,,ore,horas,heures,horas,horas,timer,,timer,horas,,,Tunnit,giờ,
hrs,hrs,hod,小時,ч,Std,h,h,ч,,h,h,hrs,hrs,hrs,t,,t,hrs,,,t,h,
You hit your offline time limit of {quantity},You hit your offline time limit of {quantity},Dosáhli jste limitu času {quantity},你已達到離線收益時間上限{quantity},Вы достигли времени лимита оффлайн {quantity},Du hast dein offline Zeitlimit von {quantity] erreicht,Twój limit {quantity} offline został osiągnięty ,Du uppnådde din tidsgräns av att spelet var stängt på {quantity},Достигнахте лимита си за офлайн време от {quantity},,,Atingiu sua limite de tempo offline de {quantity} ,"vous avez atteint
la limite de temps hors
ligne{quantity}",,,Du nådde makstiden på {quantity} når spillet er avsluttet,,,Llegaste a tu limite de tiempo desconectado de {quantity} ,,,Olet saavuttanut offline-tilan {quantity} aikarajan ,,
You were offline for {quantity},You were offline for {quantity},Byli jste offline po {quantity} dobu,你離線了{quantity},Ты был офлайн {quantity},Du warst offline für {quantity},Byłeś/Byłaś offline przez {quantity},Du hade spelet stängt i {quantity},Бяхте офлайн за {quantity},,,Estiveste offline durante {quantity},"vous étiez hors
ligne pour {quantity}",,,Du hadde spillet avsluttet i {quantity},,,Estuviste desconectado por {quantity} ,,,Olit offline-tilassa {quantity} ,,
"At {percent} efficiency, you made","At {percent} efficiency, you made","Při {percent} efektivnosti, jste vydělali",在 {percent} 效率下，你賺取了,"С {percent} эффективнностью, вы заработали","Bei einer Effizient von {percent}, hast du",Z efektywnością {percent} uzykałeś/aś,"Med {percent} effektivitet, tjänade du ","На {percent}, направихте",,,"A {percent} de eficiência, fizeste",,,,"Med {percent} effektivitet, tjente du",,,A {percent} de eficiencia hiciste,,,"{percent} tehokkuudessa, olet tehnyt ",,
Nice!,Nice!,Pěkně!,真棒!,Найс!,Gut!,Super!,Härligt!,Браво!,,Bun!,Boa!,Bien!,,¡Bien!,Fint!,,,Bien!,,,Hyvä!,Tuyệt!,
Ok,Ok,Ok,Ok,Ок,Ok,Ok,Ok,Ок,,Ok,Ok,Ok,Vale,Ok,Ok,,Ok,ok,,,Ok,Ok,
No offline income was generated,No offline income was generated,Žádný offline příjem nebyl vygenerován,未產生任何離線收益,Оффлайн доход не был сгенерирован,Kein offline Einkommen wurde generiert,Przychód offline nie został wygenerowany,Det genererades ingen inkomst medans spelet var stängt,Не са генерирани офлайн приходи,,Niciun venit offline nu a fost generat,Nehum rendimento offline gerado ,"Aucune
rémunération
hors ligne 
a été fournie",,,Ingen inntekt mens spillet var avsluttet,,,ningun ingreso fue generado mientras estabas desconectado,,,Offline-tuloja ei ole saavutettu,,
Buy the {tip_jar} in the {shop},Buy the {tip_jar} in the {shop},Kupte si Sklenici na Spropitné v Obchodě,在商店購買小費罐,Купи {tip_jar} в {shop},Kaufe das {tip_jar} im {shop},Kup {tip_jar} w {shop},Köp dricksburken i affären,Купете буркана с бакшиши в магазина,,,Compra o {tip_jar} na {shop},Acheter le {tip_jar} dans la {shop},,,Kjøp {tip_jar} i {shop},,Køb {tip_jar} i {shop},Compra la {tip_jar} en la {shop},,,Osta {tip_jar} kaupasta,,
Minnow,Minnow,Střevle,米諾魚,Пескарь,Erlitze,Płotka,Elritsa,Лещанка,,,Vairão,Fretin,,,Minnow,,,pecesillo,,,Mutu,,
I can barely see him,I can barely see him,Pomalu ho nevidím,小到快看不見它了,Я едва могу его разглядеть,Ich kann Ihn kaum sehen,Ledwo go widzę,Jag kan knappt se honnom,Едва го виждам,,Debea dacă-l văd,Mal consigo vê-lo ,Je peux á peine le voir,,Apenas puedo verlo,Jeg kan knapt se han,,Jeg kan knap nok se ham,Apenas lo veo,,,Melkein läpinäkymätön,,
Goldfish,Goldfish,Zlatá Rybka,金魚,Золотая рыбка,Goldfisch,Złota rybka,Guldfisk,Златна рибка,,,Peixe-dorado,Poisson Rouge,,Pez dorado,Gullfisk,,Guldfisk,pez dorado,,,Kultakala,Cá vàng,
The snack that smiles back,The snack that smiles back,Sváča co se směje zpět,會對你微笑的零食,Загадай Желание,Der Snack lächelt zurück,Niestety bez życzeń,Mellanmålet som ler tillbaka!,"Закуската, която се усмихва",,,O lanche que sorri de volta,"La collation qui 
sourie",,Pececito de diversión,Jeg kan se refleksjonen min,,"100% guld, 0% hukommelse",el pez que te hace sonreir,,,Party mix -pussin paras osuus,,
Bluegill,Bluegill,Slunečnice,藍鰓太陽魚,Солнечник синежаберный,Sonnenbarsch,Bass niebieski,Blågill,Синя слънчева риба,,,Perca-sol Azul,Crapet arlequin,,Pez de sol verde,Blågjelle,,,pez sol verde,,,Isoaurinkoahven,,
"Wait a minute, this guy isn't even blue","Wait a minute, this guy isn't even blue","No tak počkat, však ani není žlutá",等等，這傢伙根本不是藍色的啊,"Подождите, он совсем не солнечный","Warte eine Minute, dieser Fisch ist nicht Blau","Zaraz, zaraz, on nawet nie jest niebieski","Vänta lite, den här grabben är inte ens blå","Чакай малко, този дори не е син",,,"Espera, este gajo nem é azul","Attends voir, ce gars n'est même pas Italien",,,"Vent nå litt, den er jo ikke blå engang",,,"Esperate, este wey ni es verde",,,"Hetkonen, eihän hän edes ole auringon värinen",,
Carp,Carp,Kapr,鯉魚,Карп,Karpfen,Karp,Karp,Шаран,,,Carpa,Carpe,,Carpa,Karpe,,,carpa,,,Karppi,,
It's everywhere!,It's everywhere!,Je všude!,到處都是牠！,Он везде!,Es ist überall!,Nawet nie czuć mułem,Den är överallt,Навсякъде е!,,E peste tot!,Está em todo lado !,Il est partout!,,¡Está por todos lados!,De er overalt!,,,Esta en todos lados!,,,Karppi diem,,
Koi,Koi,Koi,錦鯉,Кои,Koi,Karp Koi,Koikarp,Кои,,,Carpa Koi,Carpe koi,,Pez Koi,Koi,,Koi,pez koi,,,Koikarppi,,
I'm not feeling o koy,I'm not feeling o koy,"Kapr, ale takovej barevnější",我感覺不太對錦,Кой-ой-ой кто тут у нас?,Ich fühle mich nicht o koi,"Taki karp, ale kolorowy",Det var s-koi,Не се чувствам ОКои,,,Mas que koi-sa estranha,"Je me sens pas
o koi",,No me estoy sintiendo O Koi,Jeg føler meg ikke o-koi,,Jeg har det ikke o-koi,no me siento O koi,,,Koi -ta paremmin! ,,
Devils Hole Pupfish,Devils Hole Pupfish,Štěňata Ďáblova,魔鱂,Дьявольский карпозубик,Teufelsloch-Kärpfling,Karpieniec diabli,Djävulsbrunnens pupfisk,Дяволска Ципринодонтова риба,,,Peixinho do buraco do Diabo,Cyprinodon diabolis,,Pez cachorrito de Devils Hole,Djevelhuletannkarpe,,,pez de devils hole,,,Paholaiskilli,,
Not extinct (yet),Not extinct (yet),Nevyhynulý (zatím),還沒絕種（暫時）,Между прочим ещё не вымер (пока),Noch nicht ausgestorben (noch),Nie wymarł (jeszcze),Inte utdöd (än),Не е изчезнал (все още),,,Não extinto (Por enquanto),"pas encore éteint
(pour l'instant)",,No está extinguido (todavía),Ikke utryddet (enda),,,No esta extinto (aun),,,Paholaisen harvinaisia,,
Tilapia,Tilapia,Tilapie,吳郭魚,Тиляпия,Tilapia-Buntbarsch,Tilapia,Tilapia,Тилапия,,,Tilápia,Tilapia,Tilapia,Tilapia,Tilapia,,,Tilapia,,,Tilapia,,
Tilapiapolis,Tilapiapolis,Tilapieanapole,吳郭魚音繞梁,Тиляпияполис,Der erste Fisch,Wygląda i pachnie jak ryba,"Den är billig, tålig och neutral… wow, LinkedIn-profilen för en fisk.",Тилапиятопия,,,Vou precisar de Tilápia depois disto,Tilapiapolis,,,Tilapiapolis,,,Tilapolis,,,Tilapiat? Vähän kuin ihonnahka! ,,
Channel Catfish,Channel Catfish,Sumeček tečkovaný,溝鯰,Канальный сомик,Kanalswels,Sum kanałowy,Prickig dvärgmal,Канален сом,,,Peixe-gato do canal,Barbu de rivière,,Pez gato de canal,Kanalmalle,,Mallekanalen,Pez gato de canal,,,Kanadankissakala,,
"Hey guys, welcome back to Channel Catfish","Hey guys, welcome back to Channel Catfish","Tečkovaný, a taky slizký.",嘿大家，歡迎回到溝鯰的頻道！,Добро пожаловать на мой канал Сомик,"Hey Leute, willkommen zurück bei Kanalwels - hier läuft alles auf dem richigen Kanal",Ten wąs nie jedną wędką trząsł,Den är inte prickig och inte liten...,"Хей, хора, добре дошли отново на Канал сом",,,"Boas pessoal, bem vindo no canal do Peixe-Gato",Vous ne passerez pas !,,"Hola gente, bienvenidos de vuelta al Canal Pezgato","Hei folkens, velkommen tilbake til mallekanalen",,"Hva'så folkens, velkommen tilbage til Mallekanalen","Hola chicos, bienvenidos de vuelta al canal pezgato",,,Mikset näytä kissalta? ,,
Rainbow Trout,Rainbow Trout,Pstruh Duhový,虹鱒,Радужная форель,Regenbogenforelle,Pstrag tęczowy ,Regnbåge,Дъгова пъстърва,,,Truta arco-íris,Truite arc-en-ciel,,Trucha arcoíris,Regnbueørret,,Regnbueørred,trucha arcoiris,,,Kirjolohi,,
Taste the rainbow!!!,Taste the rainbow!!!,Ochutnejte duhu!!!,嚐嚐彩虹的滋味吧！！！,Отведай радугу!!!,Verschreibe dich dem Regenbogen. Schmecke den Regenbogen!!!,Spróbuj tęczy,Smaka på regnbågen!!!,Опитайте дъгата!!!,,,Prove o arco-íris,Gouter l'arc-en-ciel,,¡¡¡Saborea el arcoiris!!!,Smak av regnbuen!!!,,Smag på regnbuen!!,¡Prueba el arcoiris!,,,Maista kirjoa,,
Northern Pike,Northern Pike,Štika Obecná,白斑狗魚,Щука,Hecht,Szczupak,Gädda,Щука,,,Lúcio do norte,Brochet,,,Gjedde,,Gedde,Lucio europeo,,,Hauki,,
Fish the long way,Fish the long way,Dlouhé rybaření,橫著長的魚,"По щучьему велению, по моему хотению!",Fische auf langer Sicht,Taaaaaaaaaki wielki był,3000 tänder som alla är vassare än din krok,Риба по дългия път,,,Peixe bem longo,Faudrait pas qu'il finisse embroché,,,Fisk på den lange veien,,"Fisk, men aflang",Pez a lo largo,,,Hauiksen saa hauista,,
Cat Fish,Cat Fish,Kočko Ryba,加菲魚,Кото-рыба,Wels,Sum,Mal,Сом,,,Peixe-Gato,Poisson-chat,,Pez gato,Kattefisk,,Malle,Pez gato,,,Monni,,
I hate mondays,I hate mondays,Já nesnáším pondělky,我討厭星期一,Я ненавижу понедельники,In Erinnerung an die Ereignisse im Brombachsee 2025,Ponton czeka już od tygodnia ,Jag är helt mal-lös,Мразя понеделниците,,,Odeio segunda-feiras,Je détèste les lundi,,Odio los lunes,Jeg hater mandager,,Jeg hader mandage.,Odio los lunes,,,"Monni, mitäs noin onni?",,
Sockeye Salmon,Sockeye Salmon,Losos Nerka,紅鮭,Нерка,Rotlachs,Łosoś skarpetkowy,Indianlax,Сьомга,,,Salmão Vermelho ,Saumon Rouge,,,Rødlaks,,Rødlaks,Salmon rojo,,,Punalohi,,
Guess he got beat up,Guess he got beat up,Vždy jde proti proudu,我猜牠是被揍青了眼,Видимо его побили,Rate wer den Barkampf verloren hat,"Jest lewy, to gdzie jest prawy ",Antar att Columbus hade fel igen,"Предполагам, че са го пребили",,,Deve ter levado porrada ,Rouge de colère,,,Tror han rødmer,,,esta avergonzado,,,Unohdin aurinkoon sen lohen.. ,,
Walleye,Walleye,Candát,壁眼鱸,Судак,Zander,Sandacz Amerykański,Glasögongös,Судак,,,Picão-Verde,Doré Jaune,,Lucio,Amerikagjørs,,Sandart,lucioperca,,,Valkosilmäkuha,,
"If their eye is a wall, how do they see?","If their eye is a wall, how do they see?",Ceněný severoamerický úlovek,如果它的眼睛是面牆，那牠怎麼看路？,И о ком мы теперь судачим?,Das ist zander-haft,A nie mógł być polski?,Hade en glasögongös med glasögon på hetat en glasögonglasögongös?,Судак без капак,,,É um peixe não é um cão,T'es doré ou jaune? Choisi un camp mec!,,,Tror du den vet at den er amerikansk?,,Sandart - det er den nye standard!,,,,Valkosilmä? Luihu sä oot sinisimmu,,
Largemouth Bass,Largemouth Bass,Okounek Pstruhový,大嘴黑鱸,Большеротый окунь,Forellenbarsch,Bass Wielkogębny,Öringabbore,Риба бас,,Biban cu gura mare,Achigã,Achigan à grande bouche,,Lobina negra,Lakseabbor,,Ørredaborre,Lubina de boca grande,,,Isobassi,,
As opposed to small mouth,As opposed to small mouth,Se pstruhem nemá vůbec nic společného,與小嘴相對,В отличии от малоротого,Reimt sich auf Arsch,W przeciwieństwie do mało-gębnego,Öring eller abborre?,Загуби бас,,N-are gura mică,"Ao contrario do peixe calmo, esse só xinga",,,,Laks eller abbor?,,,El opuesto a boca chica,,,Bassi vai basso? ,,
Eel,Eel,Úhoř,鰻魚,Угорь,Aal,Węgorz,Ål,Змиорка,,Țipar,Enguia,Anguille,,Anguila,Ål,,Ål,Anguila,,,Ankerias,Lươn,
Snake of the sea,Snake of the sea,Had moře,大海裡的蛇,Морской Змей,Aalgela Merkel,Wąż mórz,Ormen av havet,Морска змия,,Șarpele mărilor,Cobra do mar,Serpent de la mer,,Serpiente del mar,Havets slange,,Havets slange,Serpiente del mar,,,Merien defillabraattori ,,
Betta,Betta,Bojovnice,貝塔魚,Сиамский петушок,Betta,Bojownik wspaniały,Kampfisk,Риба Бета,,Betta,Betta,Combattant,,,Kampfisk,,Kampfisk,Pez luchador de Siam,,,Taistelukala,,
